fen,depth,cp
3rr1k1/1pp2pp1/2n2q1p/p1bnpN2/8/2PP1Q1P/PPBB1PP1/R3R1K1 b - -,23,18.0
rnbq1rk1/pp3ppp/4pn2/3p4/2PP1P2/2P4P/P4PP1/RN1QKBNR w KQ -,20,40.0
8/4K3/2P3p1/6k1/p7/P3N1P1/4b3/8 w - -,18,579.0
2r1k2r/1p3p2/p2p2p1/3bp1bp/3n1P2/P5PP/1PPRN3/1K3B1R w k -,21,-507.0
8/4k3/nN6/2pP2R1/2Pr3p/5K2/8/8 b - -,45,0.0
2krr3/pb1n3p/1pp2pp1/3pP1B1/8/5B2/PPP3PP/R2R2K1 w - -,21,127.0
rnbq1rk1/pp3ppp/3b1n2/2pp4/3Pp3/1PP1P3/P3BPPP/RNBQK1NR w KQ -,23,-148.0
3r2k1/6pp/5p2/8/p5b1/3p4/PP1B1P1P/2R3K1 w - -,30,-86.0
r1bq1kr1/pp1p2pp/5p2/1n1p4/1Q6/4R3/PPPP1PPP/R1B3K1 b - -,32,150.0
4rbk1/pp3rpp/2p1Q3/2Pn3N/3P1P2/4B3/PP4PP/4RRK1 b - -,28,131.0
rn1qk1nr/pbbp1ppp/1p2p3/2P1P3/2B5/2N2N2/PPP2PPP/R1BQK2R b KQkq -,18,45.0
r3kb1r/1p2pppp/p4n2/3q4/3n1Q2/8/PP3PPP/RNB1RBK1 w kq -,26,157.0
r1b1kbnr/2qn1ppp/p2pp3/1p6/3NP3/P1N5/1PP1BPPP/R1BQ1RK1 w kq -,20,27.0
1r1q2k1/4bp2/1P1p2p1/3Pp1Pp/4P2P/p3BP2/P3Q3/K1R5 b - -,22,0.0
r2q1rk1/ppp2ppp/3p1n2/8/4P1b1/2N2N1P/PPP2PP1/R2QKB1R b KQ -,26,382.0
2r5/pp5p/4nkp1/3pp3/8/3B1P2/PP1K2PP/7R w - -,21,-221.0
r3k2r/p1nq2b1/1pb2p2/P1pp1P1p/3Pp2P/2P3PN/1P4B1/R1BQ1RK1 b kq -,23,150.0
8/8/1r6/4n3/4N1kp/8/5K2/2R5 b - -,18,-1295.0
8/3k4/7p/1p1r1p2/pP1B1Pp1/P1K5/5P1P/1B6 b - -,19,468.0
r1b1k3/pp4p1/6p1/8/4B3/1P2BNq1/P1P1P3/5RK1 w - -,21,-451.0
8/1R4kp/2Kp2p1/2b5/2P3PB/7P/p2r4/8 b - -,96,0.0
4r1k1/p2n1ppp/P7/1P2p3/1b1pP3/q4N1P/3Q1PP1/3R2K1 w - -,23,-422.0
r1b3k1/p5p1/2p1pr2/1p1pN1p1/3Pp3/2P1P3/PP1B1P1R/2K4R b - -,23,534.0
r2qkb1r/ppp2pp1/3p1nnp/3Pp3/2P1P2P/2NB1Q2/PP3PP1/R1B1K2R b KQkq -,32,147.0
r2q1rk1/ppp2ppp/2p1bb2/4Nn2/3P4/2N1B3/PPPQ1PPP/R3R1K1 w - -,25,-4.0
4r3/1pkb1p2/6p1/2Pp3p/3P3P/5P2/1P1KB1P1/R7 w - -,24,333.0
6k1/8/2b4p/1pP2pp1/8/8/2K2PP1/8 b - -,20,-733.0
R7/3r2pk/4bp1p/1rp1p3/8/2BP1PP1/1P2PK1P/2R5 w - -,22,141.0
2kr2r1/1p1n1p2/p1pb1p1p/3p4/3P4/3BP1PP/PP2NP2/2KR3R b - -,31,54.0
3k2r1/2pp2B1/p1q1n1Q1/1p6/8/1P3P2/P1P2P1P/R3R1K1 w - -,18,1148.0
2r2rk1/p3ppbp/1p4p1/8/1PP5/4P1P1/P4PBP/1RR4K b - -,25,85.0
2br2k1/pp3p1p/7p/3Nq3/2Pp3P/PPb1PR2/R3K1P1/2Q2B2 b - -,22,333.0
r1bqkb1r/ppp1pp1p/3p1np1/3P4/1n2PP2/2N2N2/PPP3PP/R1BQKB1R b KQkq -,21,94.0
4r2k/pp1nq1pp/2pnr1b1/8/3PN3/2NB4/PPQ1R1PP/4R2K w - -,21,0.0
5bk1/1p2r1pp/p1p1N1b1/2PnB1N1/8/4n1PB/P6P/2R3K1 b - -,28,-74.0
rnbq1k2/pp6/1bp1p1Q1/2P1p3/1P1Pp3/P3P3/5PPP/R1B1KB1R w KQ -,20,1020.0
rn1qkbnr/1bpp1ppp/4p3/p7/1pPPP3/1QNB4/PP3PPP/R1B1K1NR w KQkq -,23,50.0
1r3rk1/p2R1ppp/1p6/1Bp5/1n6/4P3/1PP2PPP/1K5R b - -,27,162.0
rn1qk2r/pppn1pbp/3p2p1/3Pp3/2P1P3/2N2B2/PP3PPP/R1BQ1RK1 b kq -,21,51.0
r2qk2r/ppp2ppp/2n2n2/1B1p4/3Pp3/2N1P1bP/PPP2PP1/R1B2RK1 w kq -,23,-592.0
5rk1/1pp1p2p/3p2p1/p2P2B1/P1Pb4/4P1P1/6KP/1R6 b - -,36,41.0
r3r1k1/1bq1bp1p/2p1p1pB/p3P3/1p2R1Q1/P7/BPP2PPP/3R2K1 b - -,30,-27.0
r1b2rk1/ppqnbppp/4p3/4P3/1nPP4/5N2/4B1PP/RNBQ1RK1 b - -,21,-61.0
r1q1r1k1/p3ppbp/2pp1np1/8/2P2B2/1PN1Q1P1/P3PPKP/2RR4 b - -,20,14.0
6k1/4p3/3p1np1/3P1p1p/P2b4/5P2/1r1BB1PP/3R3K b - -,22,-56.0
8/6K1/p7/1pp2k2/7P/1P6/1P6/8 b - -,43,0.0
6rk/1p4qp/4n3/3R1Q2/2P1pP2/pP2N2P/P4K2/8 w - -,45,3.0
8/5k1r/p7/3pNp2/1P1P1P1b/2B1R2p/1P3P1K/5b2 b - -,28,0.0
r2q1bnr/1pp3p1/p3Q2p/k7/3nP3/2P1B3/P1P2PPP/3RK2R w K -,18,154.0
r1bq1rk1/ppp1ppbp/1nnp2p1/8/3PP3/1BN1BN1P/PPP1QPP1/R3K2R b KQq -,28,50.0
r1qr2k1/2p2p1p/p1n2bp1/1p6/3PRB2/2P2N2/PP1NQPPP/R5K1 w - -,22,596.0
r1bqkbnr/1p1p1p1p/p3p1p1/2p1N3/2B1N3/8/PPPP1PPP/R1BQK2R b KQkq -,27,-17.0
r2q1rk1/p3n1pb/2p1Q2p/1p2B3/3PP3/P6P/1P3PP1/R3R1K1 b - -,30,12.0
rn1qkb1r/pp3ppp/2p1pn2/6Nb/2B5/5N1P/PPPP1PP1/R1BQK2R w KQkq -,35,0.0
1rb2bnr/2p3kp/p5p1/1p6/4B3/2P2N2/PP1N1PPP/R1R2K2 b - -,26,102.0
r2q2k1/pbpn3p/1p1pp2r/5pp1/1BPPn3/4PNP1/PPQ1BP1P/R2R2K1 w - -,21,-65.0
2r2rk1/1p2bpp1/p1p1pn1p/N1Pp1b1n/1P1P3P/2N3P1/1P1BPPB1/R4RK1 b - -,24,0.0
1q1r4/5pk1/2Q3p1/3B1pb1/7p/4N2P/5PP1/3R2K1 w - -,30,245.0
5rk1/ppr2pp1/3Np1p1/2q1P3/3Q4/P3PR1P/1P4P1/6K1 b - -,26,-316.0
rnbqk1r1/pp3pPp/2p1p3/3p2b1/3P3P/2N1P3/PPP2P2/R2QKBNR b KQq -,22,82.0
r3rk2/2bq2pQ/1p3RP1/p2b4/3Pp3/8/PP1B2PP/2R3K1 b - -,23,3241.0
1rbq1rk1/pp2bppp/4pn2/6N1/1nPp1P2/3P1NPP/PP4B1/R1BQ1RK1 b - -,17,-98.0
3n4/5p1p/1k6/3P4/8/6P1/2Q2P1P/6K1 w - -,20,4414.0
2rqr1k1/p2n1p1p/5pp1/8/Qp6/2P1bN1P/PP3PP1/R2R2K1 w - -,21,216.0
1r6/4ppkp/pN1pbnp1/1p6/4P3/1N1P3P/PP3PP1/2R3K1 w - -,28,17.0
r1bqkb1r/pp1npppp/2p2n2/8/8/2P2Q1P/PP1P1PP1/RNB1KBNR b KQkq -,25,-98.0
6k1/2B3p1/pp2r2p/2p3b1/P1P1b1P1/1P5R/4B2P/5K2 b - -,34,-9.0
r3k2r/1pqbnppp/p1n1p3/2bpP3/5B2/P1NB1N1P/1PP2PP1/R2QR1K1 b kq -,27,26.0
4r1k1/pR3ppp/2p2b2/q3p3/N3P3/1P6/P1P1QPPP/3r2K1 w - -,25,110.0
rn1q1rk1/pb1p2pp/1p2p3/2p1P3/2PPnp2/P1P1BP2/2Q3PP/R3KBNR w KQ -,30,-41.0
r3kbnr/p2bpNpp/8/3PQ3/4p3/B7/2q2PPP/R3KBNR w KQ -,24,590.0
1r3rk1/p1p2ppp/2bbp3/3n4/3P3q/PPN5/2PBNPPP/R2Q1RK1 w - -,19,0.0
r1b1r1k1/ppq1npp1/2p1p1np/4P1BN/8/2P2BP1/PP2QP1P/R3R1K1 w - -,29,182.0
3qrnk1/pp3rpp/2p1pn2/3p4/1P1P1QP1/2NB3P/P1P2P2/R3R1K1 w - -,29,-64.0
8/5pk1/p3p3/6pP/3r4/3P1P1P/PR6/5K2 w - -,28,-12.0
r4rk1/p4qbp/5pp1/1Bpppb2/8/2B4P/2PN1PP1/1R1QR1K1 b - -,20,69.0
4q3/1k1b1Q2/p3p3/3pP2p/1b3BrP/1P4P1/R3N3/1K6 w - -,31,-25.0
k5r1/8/4p3/ppNpPnB1/2pP4/P1Pb4/1P4P1/4R1K1 w - -,20,253.0
8/4pk1p/q5p1/5b2/8/4Q3/5PPP/1r2R1K1 b - -,34,-619.0
rnbqkbnr/pppp1pp1/8/4P2p/4P3/8/PPPP2PP/RNBQKBNR b KQkq -,26,-594.0
3k4/1Q6/P7/5q2/8/4K3/8/8 b - -,45,0.0
1Q6/5kpb/3p1p1p/2pPp3/1pP1P3/4N1PP/5PBK/q7 b - -,22,628.0
4r3/2r2bk1/pp1p1p2/4qPp1/2PNP1Bp/1P1Q3P/6P1/3R3K w - -,26,-89.0
4r1k1/6pp/1p2b3/p2PN3/3Q4/2P5/4qPP1/3R2K1 b - -,46,0.0
5k2/4qp2/p7/3p3p/KP5P/8/2P2P2/4R3 w - -,25,658.0
r1b1k2r/pp1n1p2/7p/2pp2N1/3P4/P2BP1P1/5PP1/R3K2R b KQkq -,29,3.0
8/8/k2R1p2/p3pPp1/P4rP1/8/1K6/8 b - -,50,0.0
r2q2k1/5pbp/p1b3pB/3p4/1P1P4/2P3Q1/BP3PPP/4R1K1 w - -,20,360.0
8/p3pp2/P2p1kp1/3P4/2R1PK1P/2p3P1/1r6/8 b - -,23,-39.0
rr4k1/3n2pp/2p5/4RP2/8/1pP5/1P1N2P1/1K2R3 w - -,21,0.0
rn3rk1/pp1n4/2q1p1pB/3pP3/8/P1bP1NR1/5PP1/1R1Q1K2 w - -,21,475.0
2r2r1k/1Q3p2/p3pnB1/8/3R4/P7/5PPP/R5K1 b - -,17,744.0
3qk2r/p1pnbppp/1r6/8/4B3/2P5/P3QPPP/R1B1K2R b KQk -,21,-322.0
r3k2r/1bpnqp2/p1n1p3/1p1pP3/3P4/2PB2P1/PP1NQP1P/2KR3R b kq -,19,-236.0
2r3k1/5pp1/8/1p1R4/8/1PQ4P/5PP1/6K1 b - -,23,316.0
8/1p2nk2/np6/3pB2p/P2P3P/2K5/8/1B6 w - -,26,21.0
3R4/5pkp/2b1p3/2p5/1b2P1p1/3B2P1/1r3P1P/1N3K2 b - -,27,-681.0
rnbqkb1r/pppp1pp1/4p2p/4Pn2/2PP4/3B1N2/PP3PPP/RNBQK2R w KQkq -,22,183.0
r1br2k1/1p1pnppp/p3p3/4P3/2BN4/8/PPP2PPP/2KR3R w - -,23,47.0
r2q1rk1/pb1nppbp/1p1p1np1/2p5/3P1P2/2PBPN1P/PP1NQ1P1/R1B2RK1 b - -,29,-103.0
r1b2qk1/p2n3p/2p2rp1/2ppp1N1/8/2NP1P2/PPP3PP/R2QR1K1 w Qq -,23,49.0
2k3r1/p1p4p/1pb2p2/4p3/1PP5/P2rBP1P/6P1/R3R2K b - -,20,-98.0
r2qk2r/p3bppp/1p2p3/8/3P4/6P1/P3PPKP/R1BQR3 w kq -,24,13.0
6k1/2p2pp1/1p6/2n1r3/8/1P6/2P2KPP/3R4 b - -,20,-517.0
2rr2k1/ppp2pp1/1n3q1p/2R1N3/3P4/PQ2P3/1P3PPP/5RK1 w - -,22,218.0
rnbqk2r/pp1p1ppp/4p3/2P5/1bP1n3/1Q3N2/PP1NPPPP/R1B1KB1R b KQkq -,21,40.0
1rbqk1nr/p4pb1/2npp1p1/2p4p/1p2P2P/2PPB1P1/PP1Q1PB1/R2NK1NR w KQk -,22,-65.0
r2r4/4Rpk1/p5p1/nppb4/8/2P4P/PPB2PP1/R1B3K1 w - -,25,196.0
rnbqk1nr/ppp2ppp/4p3/8/3PN1Q1/8/PPP2PP1/R3KBNR b KQkq -,23,100.0
2rq1rk1/p4ppp/1n1n4/1RpP4/6N1/5NP1/P1Q2PBP/3R2K1 b - -,21,-80.0
r2qkb1r/pp2npp1/n1p1p3/6Pp/1Q1PN1bP/3BB2N/PPP2P2/R3K2R w KQkq -,20,432.0
5Q2/5K2/8/8/3k4/8/8/6q1 b - -,30,0.0
8/2P1n1P1/Pp3n2/1p6/1K1P4/1P2b3/P7/k7 b - -,22,-373.0
7k/6Rp/6pB/bp6/3P2P1/3r3P/5PK1/8 w - -,22,529.0
r2qkb1r/pp3p1p/2p1pn2/4n1p1/3pP3/1P4PP/PNPPQPB1/R1B1K2R b KQkq -,20,-14.0
rnb1kb1r/pppqn2p/3pp1p1/5PB1/7N/2NP4/PPP2PPP/R2QKB1R b KQkq -,23,63.0
8/6p1/1p2p1kp/3rP3/1P1p2P1/5K1P/1P6/3R4 b - -,26,-387.0
r2r2k1/ppp2ppp/3q1n2/3Pn3/2PN4/7P/P3QPP1/R1B2RK1 w - -,19,464.0
1r2kb1r/5ppp/p2pb3/3Np3/2P1P3/2K2P2/P3B1PP/R6R b k -,25,36.0
5r1k/2p4p/2PpB3/1P1Pb1P1/8/3pB3/4n1KP/3R4 b - -,23,489.0
r1bq1rk1/pp1nppbp/2p2np1/3p4/P2P4/2NBPN1P/1PP2PP1/R1BQK2R w KQ -,21,14.0
r4rk1/2p3pp/pbp5/3pP1p1/Q2P4/5qN1/PP3P1P/2R2RK1 b - -,20,-184.0
4r1k1/5p1p/6p1/3Q4/7P/6P1/5P2/6K1 b - -,27,382.0
r2qk2r/1pp2p2/p1n1bn2/3p2pp/1b1P3P/2NBP1B1/PP2NPP1/R2Q1RK1 b kq -,21,76.0
r4rk1/ppq1n1b1/2p1b2p/2p2p2/P3p2N/1P1PN2P/1BP1QPP1/R3K2R w KQ -,27,98.0
8/2p3kp/1p1p2p1/pPnP2P1/r4p2/2R2B1P/2P2P1K/8 b - -,34,-421.0
3rbrk1/4q1p1/2p2p1p/1p1p4/4pPP1/P1P1Q3/1PB3RP/5R1K w - -,20,-161.0
8/8/pr4p1/4k3/PP4R1/3K1p2/8/8 b - -,23,-558.0
r1b2rk1/ppp2ppp/4pn2/4q3/N3P3/2PB4/P1Q2PPP/R4RK1 w - -,20,-78.0
4Rnk1/ppr2ppp/8/3P4/2P5/5P2/P1r2P1P/4R2K b - -,26,-461.0
1r2k2r/p3bpp1/2ppbnnp/4p3/1q2P3/1BNQBN1P/PPP2PP1/1K1R2R1 b k -,23,-62.0
rnbqk2r/ppp2ppp/3b1n2/1P6/P1p1p3/4P3/1B1P1PPP/RN1QKBNR w KQkq -,23,-24.0
5rk1/r6p/bp1qp1p1/p2pNnP1/2pP1P2/2P1PQ1R/PPBN4/2KR4 b - -,20,511.0
r4rk1/1bq1bppp/p2ppn2/2p5/2P1PP2/2NBB3/PP2Q1PP/R4RK1 b - -,36,0.0
5b2/r4Pk1/6p1/1R3P1p/7P/5KP1/8/8 b - -,30,-22.0
r2q1rk1/p1pbbppp/2np4/8/2p1P1P1/1P1P1NP1/PBP1P1B1/R2Q1RK1 b - -,21,36.0
2Q2qkb/8/4p1p1/p3P1Bp/1np2PP1/8/PPP5/1K5R w - -,20,1637.0
8/8/3kp1p1/7p/1p1K2PP/8/1P6/8 w - -,32,0.0
r1bq1rk1/2n1bppp/2p2n2/1p1p4/p3PB2/1BN2N2/PPP2PPP/R2QR1K1 w Qq -,24,-144.0
r1b1k1r1/p3bp1p/2p1pB2/q1n5/4N3/1P6/P1P2PPP/R2Q1RK1 w q -,21,57.0
q3rk2/2b3pp/3pP3/3RnP2/1R2Q3/6P1/2P3KP/8 b - -,23,106.0
r2qr1k1/ppp2ppp/3pbb2/8/4n1P1/2P1BN1P/PPP2P2/1K1RQB1R b - -,25,-228.0
8/8/4pk1p/4R3/5PKP/1r4P1/8/8 w - -,36,102.0
8/5pp1/1p2p2p/pP6/k1Kp4/7P/2r5/1R6 w - -,22,-706.0
r1bqkbnr/p1pp2pp/1pn2p2/3Pp3/4P3/2P2N2/PP3PPP/RNBQKB1R b KQkq -,29,78.0
7r/1p2b3/2k3p1/1Np1Pp2/P1P1n2p/1P5P/6P1/3KBR2 w - -,29,52.0
r4rk1/1pp1qppp/2n1p3/3p4/5P1Q/pP1PPb2/P1PNB1PP/2R2RK1 w - -,22,428.0
r1bqr1k1/pp1nppbp/3p1np1/8/3B4/1P1BPN2/P1PN1PPP/R2Q1RK1 w - -,26,-8.0
r1b1kbnr/ppp2ppp/2np2q1/4p1B1/3PP3/5N2/PPP1BPPP/RN1QK2R w KQkq -,24,27.0
rn1q1rk1/1p3ppp/p2pbn2/4p3/2P1P3/1NNB4/PP1Q1PPP/R4RK1 w - -,24,43.0
r3r1k1/5p1p/2B3p1/pN5q/Q2P1n2/P4P2/1P1K3P/6RR b - -,27,93.0
rnbqr1k1/ppp3pp/8/3N2b1/2QP4/8/PP3PPP/R1B2RK1 w - -,30,536.0
3QR3/1p3k1p/5p2/p1P3p1/P7/8/8/1q3K2 w - -,26,368.0
8/p4ppp/r7/4pk2/8/4P1P1/PP2P2P/2RK4 w - -,25,6.0
r1b2rk1/1p4pp/2nq4/p1b1pp2/2P5/PP4P1/1B1PBP1P/R2QNRK1 w Qq -,32,3.0
b6r/p4rk1/1p2p1Q1/2P1P2q/8/P1P1P3/1B4P1/1B2R1K1 b - -,19,-496.0
N4bnr/pp3ppp/3k4/8/4pP2/4B2B/PP3P1P/n2K3R b - -,27,190.0
2r2rk1/3bn2p/pq2pbp1/1p1p4/7P/PBN2N2/1P3PP1/2RQR1K1 w - -,23,-123.0
3R1B2/2r3p1/5pk1/7p/5K1P/5P2/8/8 w - -,25,132.0
r2qr1k1/2n2pbp/p3b1p1/1pp3P1/3p3P/1P3Q2/PBPPBP2/1NKR3R b - -,16,-387.0
4rrk1/p2Rb1p1/1qp4p/1p2Q3/5n2/P4N1P/1P3PP1/4R1K1 b - -,25,-422.0
8/8/1p5p/p3k1p1/P1Bp2P1/1P3K1P/2Pb4/8 w - -,60,0.0
r4rk1/2R2pp1/2Pp1q1p/p3p3/2p1P3/P1P2P2/2P2P1P/3QK2R b K -,21,-9.0
2r5/pp2p1k1/4Pp1p/3P4/6Pp/3BB3/3K1P2/8 b - -,28,0.0
6k1/4Qp2/8/4b1Pp/2P5/4B2P/r3BK2/4R2q b - -,22,0.0
r1r3k1/1b1p2p1/1p2pp2/1Pb3qp/p1P1P3/P1Q3Pn/1B1NRPBP/5R1K b - -,21,186.0
rn2kbnr/pp4pp/2p1pp2/6BQ/4N3/2P4P/qP3PP1/3RKB1R b Kkq -,20,370.0
5K2/8/6k1/6b1/3r4/8/8/6R1 w - -,38,0.0
r1br2k1/ppp2ppp/5n2/4p3/2P5/4P3/PPQqBPPP/R4RK1 w - -,20,246.0
3r1rk1/1pp2ppp/p7/n4b2/n1P2N2/P3PB2/1B3PPP/R4RK1 w - -,24,-79.0
2r2r2/4kp2/6p1/p2R2Np/1p5P/1P2P3/P2P4/B2K4 b - -,24,389.0
4k3/p7/1b1BPr2/3R2p1/2p5/1P1p4/P1P4P/7K w - -,30,-125.0
r1b1qrk1/p1p4p/2pb4/1p3p2/2NPp3/2N5/PPP1QPPP/2KR3R w - -,28,25.0
8/pp4k1/2pq3p/3ppQpn/8/2PPP2P/PPB3P1/6K1 b - -,20,3.0
1rb2r2/pp2Npbk/3Rn1p1/4p2p/2P1P1B1/8/PP1N1PPP/2K4R w - -,22,106.0
r1q2rk1/pp4pp/6n1/3PpnQ1/2P5/P2BB2P/5P2/R3K1R1 b Q -,25,-39.0
r7/q3b2k/3N1p1p/2rP1PnP/1p2PQR1/1P1B4/P5R1/1K6 b - -,23,-103.0
1r3k2/7p/3P1p2/2pQ4/p1P2P2/P3R1PP/6K1/1q6 b - -,18,0.0
2r5/5pp1/p2kp2p/3p4/P7/1Pr2P1P/2PR1RP1/4K3 b - -,25,-184.0
r3k2r/pp2qppp/2p1p3/3n4/2BP4/2P2Q2/PP3PPP/R4RK1 w kq -,22,32.0
6Q1/p4p1p/4p2k/6p1/Pp2b3/6P1/1P1q3P/2R1R2K w - -,25,-367.0
5k2/1pr3p1/r4p1p/8/2p1PP2/2P2B1b/1P1R1K2/3R4 w - -,25,401.0
r2q1rk1/4ppbp/3p1np1/2nP4/2p1P2P/2N2N2/PP3PP1/R1BQ1RK1 w - -,21,0.0
7k/4p2p/7K/1p5P/2r5/8/8/6R1 w - -,24,-354.0
2r1r1k1/p4pp1/1pP1n3/3P4/P1P2Bqp/3B4/3Q1P2/1R3RK1 w - -,22,-75.0
1k1r3r/1bq1bp1p/pn2pp2/1p1p4/3NPPP1/P1NR1Q2/1PP3BP/2KR4 w - -,22,83.0
8/pp4k1/2p1p1p1/2Pn3p/1P1P3P/4p1KP/1P6/2B5 b - -,20,-475.0
2krr3/1p4pp/p3np2/8/2p5/6BP/PPP2PP1/2KRR3 w - -,28,50.0
qn1brrk1/pbp1pppp/3p1n2/1p6/1P1P4/4PN2/P1P2PPP/QNBBRRK1 w - -,24,3.0
r4rk1/1b1nq1p1/pp1p1p1p/2pPpPn1/2P1P1PP/P1NB2Q1/1P6/R1B2RK1 b - -,28,184.0
r1bqk2r/pp3ppp/2n2n2/2b1p1B1/2B5/3P1N2/PPP2PPP/RN1QK2R b KQkq -,25,66.0
4r3/2p3p1/p1k2p2/2p5/2P1pb2/2B3R1/P2KP3/1R6 w - -,29,-178.0
r1bqr1k1/bpp2pp1/p2p3p/3P3n/1PP1P1Pn/P1NB1N1P/5P1B/R2QK2R w KQ -,29,138.0
8/p2p3R/2p1k1p1/1pP1PnP1/7P/P7/1P6/6K1 b - -,24,438.0
r2qkbnr/ppp2p1p/2n1b1p1/3p4/3P4/1B3N2/PPP2PPP/RNBQK2R w KQkq -,21,49.0
4k1r1/pr2bp1R/8/2p1p1p1/2N1P3/3R1P2/1PP2nP1/K7 w - -,21,75.0
6k1/5p2/pR6/6pp/1P6/r3K1P1/5N1P/8 w - -,20,351.0
r4bnr/3npkp1/2p5/pp1p2Bp/3P3P/1Q3N2/P1P2PP1/qN3RK1 w - -,38,0.0
3r1r2/4ppkp/1N2n1p1/p7/8/1P2P3/P3RPPP/2R3K1 b - -,26,121.0
r2q1rk1/pp1nbpp1/2p4p/8/3P2b1/2NBPN2/PPQ3PP/2R2RK1 b - -,18,-10.0
r1bq1rk1/1pp1n2p/3p1b2/p2P1p2/2P1pP2/PPB5/2Q1P1BP/R3NR1K b - -,28,-14.0
r4rk1/4b1pp/p3p3/1p2P3/3qp3/4B3/PP3PPP/R4RK1 w - -,32,-12.0
8/8/8/1B5N/8/5K2/8/6kn b - -,36,63.0
r4rk1/ppp1qppp/2n5/2p5/Q3P3/6P1/PP2N1BP/R4RK1 b - -,23,165.0
8/8/2k1ppp1/1pb1p2p/4P1P1/PP1K1P1P/1B6/8 w - -,23,28.0
8/p1p2ppp/3p4/8/2pP1P2/2P5/k1K2b1P/2R5 w - -,21,496.0
r2q1rk1/pp3npp/2p3b1/2P2pP1/8/2P4P/P1P2PB1/R1BQR1K1 w - -,26,205.0
1rbqk2r/p2n1ppp/1pB5/3pP3/1b3P2/2N1pN2/PP4PP/R2Q1RK1 b k -,25,64.0
3r1rk1/p5p1/q4pbp/1p1Pn3/3QP3/3P2PP/PB2R1B1/R5K1 w - -,26,150.0
rn1qkb1r/ppp2ppp/3p1nb1/8/2PQP3/2N5/PP3PPP/R1B1KBNR w KQkq -,21,87.0
1r3rk1/4n2p/8/p1pp4/P7/1QP3N1/5qPP/3RR2K w - -,40,5.0
r5k1/1pp3pp/1p1prpn1/8/4P3/2N5/PPP2PPP/R3R1K1 w - -,18,46.0
1r4k1/R4p2/3Np3/4n2p/3N4/1P2K2b/7P/8 w - -,34,0.0
r1b5/ppk1qB1Q/2p2r1P/6p1/4p3/3P4/PpP2PP1/1R3RK1 w - -,27,-32.0
r2q1rk1/bpp2ppp/p2p2n1/4p2n/4P1b1/1BPPBNP1/PP2QP1P/R3RNK1 b - -,16,14.0
8/1p1n3p/3kp1p1/8/3BPP2/2K5/1p3P1P/bB6 b - -,40,0.0
2k5/8/3p1p2/1R3P1r/1P6/2pK4/8/8 b - -,32,0.0
r2q1rk1/pppn1ppb/4p2p/6P1/4PP2/PP1N4/1bPNQ3/2KR3R w - -,23,258.0
r1b1k1nr/ppp1qppp/2np4/4p3/2P5/2Q1PN2/PP1P1PPP/R1B1KB1R w KQkq -,23,56.0
1r1qr3/Q1p1n1pk/3b3p/3pp3/6b1/2PP1N2/PP3PPP/R1B1K1NR w KQ -,22,-338.0
r1bqkbnr/2p2ppp/p1Pp4/4p3/p3P3/8/PPP2PPP/RNBQK1NR w KQkq -,27,31.0
8/8/3k4/6R1/1PP4K/7P/8/2r5 w - -,29,692.0
8/q1p1kr2/2npp2Q/2b1P1pn/2Np4/2P2N1P/5PP1/2B2RK1 b - -,25,557.0
6k1/pp3pp1/2p1p1p1/8/QP2P3/2R5/P3q3/2K5 w - -,26,381.0
5k2/1p1r1ppp/3p4/pP4P1/P1Pb3P/1KNP4/6r1/4R2R w - -,23,88.0
2q3k1/1b1npp1p/rP1p4/2r2p2/6B1/4P2P/1Q3PP1/1RR3K1 w - -,24,-427.0
8/4kp2/8/p1b1pB2/1pP1P3/1P3KP1/P7/8 w - -,58,10.0
r4rk1/pp1bbppp/2p5/8/5B2/1BN5/PPP2PPP/R5K1 w - -,27,-277.0
r4r2/1pp1k1p1/p2bp2p/4p2n/3nP2N/P1NRB2P/1PP1KPP1/7R w - -,32,1.0
5k2/6p1/2R5/1p1p1B2/p2P3p/P1P2p1P/6r1/4K3 b - -,20,254.0
8/8/5p2/1pk1n1p1/2b3P1/4K2P/2R5/8 w - -,20,-575.0
8/p6R/1p1k1p2/6P1/2Bb2P1/6K1/P1P2r2/8 b - -,24,0.0
2b2k2/5pp1/p3p2p/Np2P3/8/P2R1P1P/2r3P1/7K b - -,24,-206.0
r1bq1rk1/pp2ppbp/2np1np1/8/3NPP2/2NB3P/PPP3P1/R1BQK2R w KQ -,24,-14.0
2R5/1R3pk1/p1P1p1p1/4b2p/7P/1P6/2K4r/8 w - -,24,38.0
4nk2/1p1bp1b1/3p1pp1/4P1Bp/p1rN1P1P/P1P5/1KP3P1/3RR3 w - -,30,-162.0
4b3/4kpp1/4p2p/4P2P/nK1P1PN1/5BP1/8/8 w - -,21,285.0
2krr3/Npp3pp/p3pn2/2n5/2B5/5P1P/P1PqQP2/1R2R1K1 b - -,23,45.0
r2q1rk1/p1Qbppb1/1p5p/4Pnp1/3P1B2/5N1P/P3BPP1/2R1K2R w K -,29,-14.0
2r5/3R1pk1/p3P1p1/1p2P1r1/1P6/P7/5P2/3R1K2 b - -,21,224.0
8/p5p1/2k3p1/4p3/8/1K4PP/P5P1/8 b - -,22,-469.0
rn1qkbnr/pp1bp1pp/4p3/1B6/P2p4/8/1P1P1PPP/RNBQK1NR b KQkq -,19,-56.0
B5k1/5ppp/4p3/8/8/n1K5/1PP3PP/6r1 w - -,24,-387.0
